"categories","name","address","city","tel","fax","link","lat","lng"
"31","Triskalia PLUGUFFAN","Kerguébet","29700 PLUGUFFAN","Téléphone : 02.98.94.07.91","Fax : 02.98.94.00.06","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-pluguffan/","47.97897829999999","-4.192097399999966"
"31","Triskalia PLOUVORN","Z.I. de Kérarbellec","29420 PLOUVORN","Téléphone : 02.98.61.30.04","Fax : 02.98.61.02.84","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-plouvorn/","48.58098039999999","-4.026896699999952"
"31","Triskalia PLOURIN LES MORLAIX","Z.A. de Kersody","29600 PLOURIN LES MORLAIX","Téléphone : 02.98.72.54.08","Fax : 02.98.72.62.14","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-plourin-morlaix/","48.5372474","-3.799714799999947"
"31","Triskalia PLOURAY","Kerguzul","56770 PLOURAY","Téléphone : 02.97.34.83.20","Fax : 02.97.34.83.20","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-plouray/","48.1370239","-3.3464050000000043"
"31","Triskalia PLOUNEOUR TREZ","Lanveur","29890 PLOUNEOUR TREZ","Téléphone : 02.98.83.91.22","Fax : 02.98.83.95.75","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-plouneour-trez/","48.6441982","-4.34006009999996"
"31","Triskalia PLOUMOGUER","Cohars","29810 PLOUMOGUER","Téléphone : 02.98.89.33.76","Fax : 02.98.89.63.85","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-ploumoguer/","48.4008751","-4.7104214999999385"
"31","Triskalia PLOUMILIAU","Le Clandy","22300 PLOUMILLIAU","Téléphone : 02.96.35.49.06","Fax : 02.96.35.48.07","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-plouha/","48.67547","-3.5047955"
"31","Triskalia PLOUGUIEL","La Croix Braban","22220 PLOUGUIEL","Téléphone : 02.96.92.78.45","Fax : 02.96.92.85.33","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-plouguiel/","48.7969252","-3.239474599999994"
"31","Triskalia PLOUGUERNEVEL","Route de Rostrenen","22110 PLOUGUERNEVEL","Téléphone : 02.96.29.00.40","Fax : 02.96.29.38.47","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-plouguernevel/","48.23978417234801","-3.2525646686553955"
"31","Triskalia PLOUGUENAST","ZA Ville Neuve","22150 PLOUGUENAST","Téléphone : 02.96.28.74.59","Fax : 02.96.26.84.55","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-plouguenast/","48.281572203971415","-2.711530923843384"
"31","Triskalia PLOUBEZRE MARGUERITE","Kerauzern","22300 PLOUBEZRE","Téléphone : 02.96.38.91.41","Fax : 02.96.38.63.74","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-ploubezre-marguerite/","48.6593145","-3.447251700000038"
"31","Triskalia PLONEVEZ","Zone Artisanale de Kerdaniou","29530 PLONEVEZ DU FAOU","Téléphone : 02.98.86.95.95.","Fax : 02.98.86.98.07","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-plonevez/","48.2419305","-3.8156523000000107"
"31","Triskalia PLONEOUR LANVERN","Kerlavar","29720 PLONEOUR LANVERN","Téléphone : 02.98.87.62.80","Fax : 02.98.82.64.91","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-ploneour-lanvern/","47.8975343","-4.269271600000025"
"31","Triskalia PLOERMEL","La Gare","56800 PLOERMEL","Téléphone : 02.97.74.01.57","Fax : 02.97.74.23.57","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-ploermel/","47.93256155052241","-2.3998475074768066"
"31","Triskalia PLEYBEN","Ty Guen","29190 PLEYBEN","Téléphone : 02.98.26.60.73.","Fax : 02.98.26.79.25.","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-pleyben/","48.2485538","-3.957331100000033"
"31","Triskalia PLEUBIAN","Mez Bronnec","22610 PLEUBIAN","Téléphone : 02.96.22.91.03","Fax : 02.96.16.57.14","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-pleubian/","48.842068060454054","-3.138871192932129"
"31","Triskalia PLEMET","Rue de la Gare","22210 PLEMET","Téléphone : 02.96.25.60.86","Fax : 02.96.25.61.32","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-plemet/","48.17733796308446","-2.598535349243093"
"31","Triskalia PLELAN LE PETIT","24, Rue de la Vallée","22980 PLELAN LE PETIT","Téléphone : 02.96.27.60.18","Fax : 02.96.27.68.44","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-plelan-petit/","48.4323203","-2.2272739"
"31","Triskalia PLANCOET","Rue de Dinard","22130 ST LORMEL","Téléphone : 02.96.84.10.26","Fax : 02.96.84.32.93","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-plancoet/","48.53110017277512","-2.2245383262634277"
"31","Triskalia PIRE SUR SEICHE","53 Rte de Vitré","35150 PIRE S/SEICHE","Téléphone : 02.90.02.39.78","Fax : 02.99.44.58.31","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-pire-seiche/","48.0113423","-1.4248901999999362"
"31","Triskalia PENGUILY","Bourg","22510 PENGUILY","Téléphone : 02.96.30.26.23","Fax : 02.96.30.24.27","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-penguily/","48.3722512704524","-2.4933876904601675"
"31","Triskalia PAIMPOL AGRI","Zone de conditionnement","22500 PAIMPOL","Téléphone : 02.96.20.76.95","Fax : 02.96.55.05.48.","https://www.triskalia.fr/nos-enseignes-et-magasins/triskalia-paimpol-agri/","48.779551","-3.049052599999982"
