"|","|__address","|__anim","|__category","|__desc","|__icon","|__infoopen","|__lat","|__linkd","|__lng","|__map_id","|__marker_id","|__other_data__-","|__pic","|__retina","|__title"
"65","ROUTE DE WAVRECHAIN - LA PRISE D'EAU 59220 ROUVIGNIES","0","1","<p><u>Type :</u> Collecte<br /><u>Téléphone :</u> 03 27 48 02 07<br /><u>Responsable de site :</u> JEAN MICHEL CORTEYN</p>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","50.3278907","","3.4324136","1","65","","","0","ROUVIGNIES"
"66","SOMAIN","0","1","<div> <u>Type :</u> Collecte<br /><u>Téléphone :</u> 03 27 80 90 11<br /><u>Responsable de site :</u> CHRISTOPHE HUMEZ</div>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","50.359201","","3.281138","1","66","","","0","SOMAIN"
"67","ROUTE DE PAILLENCOURT 59400 ESWARS","0","1","<div><u>Type :</u> Collecte<br /><u>Téléphone :</u> 03 27 80 90 11<br /><u>Responsable de site :</u> CHRISTOPHE HUMEZ</div>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","50.2208684","","3.2649564","1","67","","","0","ESWARS"
"68","62860 MARQUION","0","1","<p><u>Type :</u> Collecte<br /><u>Téléphone :</u> 03 21 16 16 44<br /><u>Responsable de site :</u> JEROME LUGAND</p>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","50.210227","","3.085243","1","68","","","0","MARQUION"
"69","RUE VAL 60310 SOLENTE","0","1","<div><u>Type :</u> Collecte<br /><u>Téléphone :</u> 06 45 60 16 14<br /><u>Responsable de site :</u> ROMAIN ROY</div>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","49.699954","","2.878141","1","69","0","","0","SOLENTE"
"7","RUE DE MONTREUIL 62650 MANINGHEM","0","2","<div> </div><div class=""gm-style-iw""><div><div><div><div><u>Type :</u> Appro / Collecte<br /><u>Téléphone :</u> 03 21 90 93 11<br /><u>Responsable de site :</u> AURELIEN DUFLOS</div></div></div></div></div>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_appro.png","0","50.5404145","","1.9435144","1","7","","","0","MANINGHEM"
"71","RUE DE CHAUNY 80400 BROUCHY","0","1","<div><u>Type :</u> Collecte<br /><u>Téléphone :</u> 03 22 83 90 02<br /><u>Responsable de site :</u> ROMAIN ROY</div>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","49.718541","","3.100665","1","71","0","","0","BROUCHY"
"72","11 RUE DE LA GARE 02590 FORESTE","0","1","<p><u>Type :</u> Collecte<br /><u>Téléphone :</u> 03 23 66 45 93/0642 04 42 95<br /><u>Responsable de site :</u> THIBAUT LESAGE</p>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","49.805064","","3.099307","1","72","0","","0","FORESTE"
"73","46 RUE LUCIEN BOUTON 80400 CROIX MOLIGNEAUX","0","1","<p><u>Type :</u> Collecte<br /><u>Téléphone :</u> 03 22 83 90 02<br /><u>Responsable de site :</u> JGUILLAUME DOLAY</p>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","49.822424","","3.011228","1","73","0","","0","CROIX MOLIGNEAUX"
"75","RUE DE LONGAVESNE 80240 LIERAMONT","0","1","<p><u>Type :</u> Collecte<br /><u>Téléphone :</u> 06 81 86 99 59-07 88 15 03 26<br /><u>Responsable de site :</u> MATHIAS DACHEUX</p>","http://www.groupe-carre.fr/wp-content/uploads/2017/06/depart_collecte.png","0","49.991534","","3.052398","1","75","0","","0","LIERAMONT"
